long,lat
-86.79,33.52
-106.62,35.11
-80.32,35.22
-82.54,35.57
-82.54,35.57
-105.76,35.58
-105.76,35.58
-105.95,35.67
-79.04,35.92
-79.04,35.92
-81.66,36.2
-121.83,37.19
-84.29,37.57
-84.29,37.57
-80.88,37.66
-78.48,38.03
-78.48,38.03
-77.1,38.87
-77.03,38.89
-77.03,38.89
-77.03,38.89
-77.0,38.98
-77.0,38.98
-76.7,39.39
-74.47,39.48
-76.64,39.89
-75.34,39.9
-75.34,39.9
-75.16,39.95
-75.16,39.95
-75.16,39.95
-75.16,39.95
-75.14,40.09
-75.14,40.09
-74.76,40.22
-74.65,40.35
-75.1,40.43
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.99,40.71
-73.99,40.71
-73.99,40.71
-73.99,40.71
-73.47,40.78
-73.78,40.94
-72.18,40.98
-73.66,41.0
-73.63,41.06
-75.88,41.26
-72.92,41.31
-71.51,41.45
-71.27,41.51
-70.66,41.52
-72.65,41.54
-73.92,41.69
-71.31,41.73
-72.25,41.8
-73.36,41.95
-71.64,42.05
-72.64,42.21
-72.52,42.26
-71.16,42.31
-71.14,42.32
-72.67,42.32
-72.67,42.32
-71.15,42.35
-71.13,42.35
-71.15,42.35
-71.11,42.37
-72.52,42.37
-72.52,42.37
-71.11,42.37
-71.11,42.37
-71.11,42.37
-71.11,42.37
-71.11,42.37
-72.52,42.37
-71.24,42.38
-71.24,42.38
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.3,42.41
-71.16,42.41
-71.16,42.41
-71.1,42.42
-71.5,42.43
-76.5,42.44
-71.14,42.45
-71.35,42.45
-72.78,42.53
-72.53,42.53
-72.53,42.53
-72.59,42.58
-72.55,42.59
-71.14,42.65
-71.81,42.68
-72.43,42.7
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-73.18,42.87
-75.85,42.92
-76.14,43.04
-75.37,43.04
-73.77,43.06
-80.52,43.46
-70.33,43.59
-72.29,43.62
-72.26,43.89
-70.17,44.08
-72.43,44.1
-73.25,44.2
-72.57,44.26
-71.97,44.41
-71.97,44.41
-73.22,44.48
-73.27,44.48
-73.22,44.48
-73.22,44.48
-73.22,44.48
-73.22,44.48
-69.55,44.56
-68.82,44.73
-71.93,45.4
-122.0,47.55
-122.28,47.68
-122.28,47.68
-122.61,49.19
-151.32,59.4
,
